msw3_number_ID,msw3_accepted_sist_order,msw3_accepted_sist_family,msw3_accepted_sist_genus,msw3_synonym_name,msw3_synonym_author_name,msw3_synonym_author_year,msw3_synonym_note
10300003,MONOTREMATA,Tachyglossidae,Tachyglossus,Acanthonotus,Goldfuss,1809,NA
10300003,MONOTREMATA,Tachyglossidae,Tachyglossus,Echidna,G. Cuvier,1797,NA
10300003,MONOTREMATA,Tachyglossidae,Tachyglossus,Echinopus,G. Fischer,1814,NA
10300003,MONOTREMATA,Tachyglossidae,Tachyglossus,Syphonia,Rafinesque,1815,NA
10300010,MONOTREMATA,Tachyglossidae,Zaglossus,Acanthoglossus,Gervais,1877,NA
10300010,MONOTREMATA,Tachyglossidae,Zaglossus,Bruynia,Dubois,1882,NA
10300010,MONOTREMATA,Tachyglossidae,Zaglossus,Proechidna,Dubois,1884,NA
10300010,MONOTREMATA,Tachyglossidae,Zaglossus,Prozaglossus,Kerbert,1913,NA
10300019,MONOTREMATA,Ornithorhynchidae,Ornithorhynchus,Dermipus,Wiedermann,1800,NA
10300019,MONOTREMATA,Ornithorhynchidae,Ornithorhynchus,Platypus,Shaw,1799,"[not of Herbst, 1793]"
10400004,DIDELPHIMORPHIA,Didelphidae,Caluromys,Didelphis,Linnaeus,1758,[part]
10400004,DIDELPHIMORPHIA,Didelphidae,Caluromys,Gamba,Liais,1872,[part]
10400004,DIDELPHIMORPHIA,Didelphidae,Caluromys,Mallodelphys,Thomas,1920,"[type species Didelphis laniger Desmarest, 1820, by original designation, valid as a subgenus]"
10400004,DIDELPHIMORPHIA,Didelphidae,Caluromys,Philander,Burmeister,1856,"[preoccupied by Philander Brisson, 1762, and Philander Tiedemann, 1808]"
10400004,DIDELPHIMORPHIA,Didelphidae,Caluromys,Sarigua,Muirhead,1819,[part]
10400026,DIDELPHIMORPHIA,Didelphidae,Caluromysiops,NA,NA,NA,NA
10400028,DIDELPHIMORPHIA,Didelphidae,Glironia,NA,NA,NA,NA
10400031,DIDELPHIMORPHIA,Didelphidae,Chironectes,Gamba,Liais,1872,[part]
10400031,DIDELPHIMORPHIA,Didelphidae,Chironectes,Memina,G. Fischer,1814,NA
10400031,DIDELPHIMORPHIA,Didelphidae,Chironectes,Sarigua,Muirhead,1819,[part]
10400037,DIDELPHIMORPHIA,Didelphidae,Didelphis,Dasyurotherium,Liais,1872,[replacement name for Thylacotherium Lund]
10400037,DIDELPHIMORPHIA,Didelphidae,Didelphis,Dimerodon,Ameghino,1889,NA
10400037,DIDELPHIMORPHIA,Didelphidae,Didelphis,Gamba,Liais,1872,[part]
10400037,DIDELPHIMORPHIA,Didelphidae,Didelphis,Gambatherium,Liais,1872,[replacement name for Thylacotherium Lund]
10400037,DIDELPHIMORPHIA,Didelphidae,Didelphis,Leucodidelphis,Ihering,1914,NA
10400037,DIDELPHIMORPHIA,Didelphidae,Didelphis,Opossum,Schmid,1818,[part]
10400037,DIDELPHIMORPHIA,Didelphidae,Didelphis,Sarigua,Muirhead,1819,[part]
10400037,DIDELPHIMORPHIA,Didelphidae,Didelphis,Thylacotherium,Lund,1839,[preoccupied]
10400050,DIDELPHIMORPHIA,Didelphidae,Gracilinanus,Didelphis,Linnaeus,1758,[part]
10400050,DIDELPHIMORPHIA,Didelphidae,Gracilinanus,Grymaeomys,Burmeister,1854,[part]
10400062,DIDELPHIMORPHIA,Didelphidae,Hyladelphys,NA,NA,NA,NA
10400064,DIDELPHIMORPHIA,Didelphidae,Lestodelphys,Notodelphys,Thomas,1921,[preoccupied]
10400066,DIDELPHIMORPHIA,Didelphidae,Lutreolina,Didelphis,Linnaeus,1758,[part]
10400066,DIDELPHIMORPHIA,Didelphidae,Lutreolina,Sarigua,Muirhead,1819,[part]
10400070,DIDELPHIMORPHIA,Didelphidae,Marmosa,Asagis,Gloger,1841,NA
10400070,DIDELPHIMORPHIA,Didelphidae,Marmosa,Cuica,Liais,1872,NA
10400070,DIDELPHIMORPHIA,Didelphidae,Marmosa,Didelphis,Linnaeus,1758,[part]
10400070,DIDELPHIMORPHIA,Didelphidae,Marmosa,Grayium,Kretzoi and Kretzoi,2000,NA
10400070,DIDELPHIMORPHIA,Didelphidae,Marmosa,Grymaeomys,Burmeister,1854,NA
10400070,DIDELPHIMORPHIA,Didelphidae,Marmosa,Notagogus,Gloger,1841,NA
10400070,DIDELPHIMORPHIA,Didelphidae,Marmosa,Opossum,Schmid,1818,[part]
10400070,DIDELPHIMORPHIA,Didelphidae,Marmosa,Sarigua,Muirhead,1819,[part]
10400070,DIDELPHIMORPHIA,Didelphidae,Marmosa,Stegomarmosa,Pine,1972,NA
10400091,DIDELPHIMORPHIA,Didelphidae,Marmosops,Didelphis,Linnaeus,1758,[part]
10400091,DIDELPHIMORPHIA,Didelphidae,Marmosops,Grymaeomys,Burmeister,1854,[part]
