msw3_number_ID,msw3_accepted_sist_order,msw3_accepted_sist_family,msw3_accepted_sist_genus,msw3_accepted_author_name,msw3_accepted_author_year,msw3_synonym_name,msw3_synonym_author_name,msw3_synonym_author_year,msw3_synonym_note
10300003,MONOTREMATA,Tachyglossidae,Tachyglossus,Illiger,1811,Acanthonotus,Goldfuss,1809,NA
10300003,MONOTREMATA,Tachyglossidae,Tachyglossus,Illiger,1811,Echidna,G. Cuvier,1797,NA
10300003,MONOTREMATA,Tachyglossidae,Tachyglossus,Illiger,1811,Echinopus,G. Fischer,1814,NA
10300003,MONOTREMATA,Tachyglossidae,Tachyglossus,Illiger,1811,Syphonia,Rafinesque,1815,NA
10300010,MONOTREMATA,Tachyglossidae,Zaglossus,Gill,1877,Acanthoglossus,Gervais,1877,NA
10300010,MONOTREMATA,Tachyglossidae,Zaglossus,Gill,1877,Bruynia,Dubois,1882,NA
10300010,MONOTREMATA,Tachyglossidae,Zaglossus,Gill,1877,Proechidna,Dubois,1884,NA
10300010,MONOTREMATA,Tachyglossidae,Zaglossus,Gill,1877,Prozaglossus,Kerbert,1913,NA
10300019,MONOTREMATA,Ornithorhynchidae,Ornithorhynchus,Blumenbach,1800,Dermipus,Wiedermann,1800,NA
10300019,MONOTREMATA,Ornithorhynchidae,Ornithorhynchus,Blumenbach,1800,Platypus,Shaw,1799,"[not of Herbst, 1793]"
10400004,DIDELPHIMORPHIA,Didelphidae,Caluromys,J. A. Allen,1900,Didelphis,Linnaeus,1758,[part]
10400004,DIDELPHIMORPHIA,Didelphidae,Caluromys,J. A. Allen,1900,Gamba,Liais,1872,[part]
10400004,DIDELPHIMORPHIA,Didelphidae,Caluromys,J. A. Allen,1900,Mallodelphys,Thomas,1920,"[type species Didelphis laniger Desmarest, 1820, by original designation, valid as a subgenus]"
10400004,DIDELPHIMORPHIA,Didelphidae,Caluromys,J. A. Allen,1900,Philander,Burmeister,1856,"[preoccupied by Philander Brisson, 1762, and Philander Tiedemann, 1808]"
10400004,DIDELPHIMORPHIA,Didelphidae,Caluromys,J. A. Allen,1900,Sarigua,Muirhead,1819,[part]
10400026,DIDELPHIMORPHIA,Didelphidae,Caluromysiops,Sanborn,1951,NA,NA,NA,NA
10400028,DIDELPHIMORPHIA,Didelphidae,Glironia,Thomas,1912,NA,NA,NA,NA
10400031,DIDELPHIMORPHIA,Didelphidae,Chironectes,Illiger,1811,Gamba,Liais,1872,[part]
10400031,DIDELPHIMORPHIA,Didelphidae,Chironectes,Illiger,1811,Memina,G. Fischer,1814,NA
10400031,DIDELPHIMORPHIA,Didelphidae,Chironectes,Illiger,1811,Sarigua,Muirhead,1819,[part]
10400037,DIDELPHIMORPHIA,Didelphidae,Didelphis,Linnaeus,1758,Dasyurotherium,Liais,1872,[replacement name for Thylacotherium Lund]
10400037,DIDELPHIMORPHIA,Didelphidae,Didelphis,Linnaeus,1758,Dimerodon,Ameghino,1889,NA
10400037,DIDELPHIMORPHIA,Didelphidae,Didelphis,Linnaeus,1758,Gamba,Liais,1872,[part]
10400037,DIDELPHIMORPHIA,Didelphidae,Didelphis,Linnaeus,1758,Gambatherium,Liais,1872,[replacement name for Thylacotherium Lund]
10400037,DIDELPHIMORPHIA,Didelphidae,Didelphis,Linnaeus,1758,Leucodidelphis,Ihering,1914,NA
10400037,DIDELPHIMORPHIA,Didelphidae,Didelphis,Linnaeus,1758,Opossum,Schmid,1818,[part]
10400037,DIDELPHIMORPHIA,Didelphidae,Didelphis,Linnaeus,1758,Sarigua,Muirhead,1819,[part]
10400037,DIDELPHIMORPHIA,Didelphidae,Didelphis,Linnaeus,1758,Thylacotherium,Lund,1839,[preoccupied]
10400050,DIDELPHIMORPHIA,Didelphidae,Gracilinanus,Gardner and Creighton,1989,Didelphis,Linnaeus,1758,[part]
10400050,DIDELPHIMORPHIA,Didelphidae,Gracilinanus,Gardner and Creighton,1989,Grymaeomys,Burmeister,1854,[part]
10400062,DIDELPHIMORPHIA,Didelphidae,Hyladelphys,Voss and Lunde and Simmons,2001,NA,NA,NA,NA
10400064,DIDELPHIMORPHIA,Didelphidae,Lestodelphys,Tate,1934,Notodelphys,Thomas,1921,[preoccupied]
10400066,DIDELPHIMORPHIA,Didelphidae,Lutreolina,Thomas,1910,Didelphis,Linnaeus,1758,[part]
10400066,DIDELPHIMORPHIA,Didelphidae,Lutreolina,Thomas,1910,Sarigua,Muirhead,1819,[part]
10400070,DIDELPHIMORPHIA,Didelphidae,Marmosa,Gray,1821,Asagis,Gloger,1841,NA
10400070,DIDELPHIMORPHIA,Didelphidae,Marmosa,Gray,1821,Cuica,Liais,1872,NA
10400070,DIDELPHIMORPHIA,Didelphidae,Marmosa,Gray,1821,Didelphis,Linnaeus,1758,[part]
10400070,DIDELPHIMORPHIA,Didelphidae,Marmosa,Gray,1821,Grayium,Kretzoi and Kretzoi,2000,NA
10400070,DIDELPHIMORPHIA,Didelphidae,Marmosa,Gray,1821,Grymaeomys,Burmeister,1854,NA
10400070,DIDELPHIMORPHIA,Didelphidae,Marmosa,Gray,1821,Notagogus,Gloger,1841,NA
10400070,DIDELPHIMORPHIA,Didelphidae,Marmosa,Gray,1821,Opossum,Schmid,1818,[part]
10400070,DIDELPHIMORPHIA,Didelphidae,Marmosa,Gray,1821,Sarigua,Muirhead,1819,[part]
10400070,DIDELPHIMORPHIA,Didelphidae,Marmosa,Gray,1821,Stegomarmosa,Pine,1972,NA
10400091,DIDELPHIMORPHIA,Didelphidae,Marmosops,Matschie,1916,Didelphis,Linnaeus,1758,[part]
10400091,DIDELPHIMORPHIA,Didelphidae,Marmosops,Matschie,1916,Grymaeomys,Burmeister,1854,[part]
10400091,DIDELPHIMORPHIA,Didelphidae,Marmosops,Matschie,1916,Thylamys,Gray,1821,[part]
10400109,DIDELPHIMORPHIA,Didelphidae,Metachirus,Burmeister,1854,Cuica,Liais,1872,[part]
10400116,DIDELPHIMORPHIA,Didelphidae,Micoureus,Lesson,1842,Grymaeomys,Burmeister,1854,[part]
10400133,DIDELPHIMORPHIA,Didelphidae,Monodelphis,Burnett,1829,Hemiurus,Gervais,1855,NA
10400133,DIDELPHIMORPHIA,Didelphidae,Monodelphis,Burnett,1829,Microdelphys,Burmeister,1856,NA
10400133,DIDELPHIMORPHIA,Didelphidae,Monodelphis,Burnett,1829,Minuania,Cabrera,1919,NA
10400133,DIDELPHIMORPHIA,Didelphidae,Monodelphis,Burnett,1829,Monodelphiops,Matschie,1916,NA
10400133,DIDELPHIMORPHIA,Didelphidae,Monodelphis,Burnett,1829,Peramys,Lesson,1842,NA
10400152,DIDELPHIMORPHIA,Didelphidae,Philander,Brisson,1762,Gamba,Liais,1872,[part]
10400152,DIDELPHIMORPHIA,Didelphidae,Philander,Brisson,1762,Hylothylax,Cabrera,1919,NA
10400152,DIDELPHIMORPHIA,Didelphidae,Philander,Brisson,1762,Metachirops,Matschie,1916,NA
10400152,DIDELPHIMORPHIA,Didelphidae,Philander,Brisson,1762,Philander,Tiedemann,1808,NA
10400152,DIDELPHIMORPHIA,Didelphidae,Philander,Brisson,1762,Sarigua,Muirhead,1919,[part]
10400161,DIDELPHIMORPHIA,Didelphidae,Thylamys,Gray,1843,Grymaeomys,Burmeister,1854,[part]
10400161,DIDELPHIMORPHIA,Didelphidae,Thylamys,Gray,1843,Microdelphys,Burmeister,1856,[part]
10400161,DIDELPHIMORPHIA,Didelphidae,Thylamys,Gray,1843,Sarigua,Muirhead,1819,[part]
